Sex,DVRT,Educational_level,Leaving_Certificate,Prestige_score,Type_school
female,94,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,secondary
female,100,Senior_cycle_terminal_leaver-secondary_school,taken,18,secondary
female,84,Senior_cycle_terminal_leaver-secondary_school,taken,18,secondary
male,112,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
male,125,3rd_level_complete,taken,71,secondary
female,96,Senior_cycle_terminal_leaver-secondary_school,taken,38,secondary
male,118,Senior_cycle_terminal_leaver-secondary_school,taken,71,secondary
female,97,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,secondary
male,125,3rd_level_complete,taken,31,secondary
male,87,Senior_cycle_terminal_leaver-secondary_school,taken,40,secondary
female,103,Senior_cycle_terminal_leaver-secondary_school,taken,38,secondary
male,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,36,secondary
female,100,Senior_cycle_terminal_leaver-secondary_school,taken,57,secondary
female,107,3rd_level_complete,taken,61,secondary
male,114,3rd_level_complete,taken,75,secondary
male,84,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
male,126,Junior_cycle_incomplete-vocational_school,not_taken,61,vocational
male,102,Junior_cycle_terminal_leaver-vocational_school,not_taken,43,vocational
female,109,Junior_cycle_terminal_leaver-vocational_school,not_taken,43,vocational
male,79,Junior_cycle_terminal_leaver-vocational_school,not_taken,46,vocational
female,86,Junior_cycle_terminal_leaver-vocational_school,not_taken,40,vocational
male,92,Junior_cycle_terminal_leaver-vocational_school,not_taken,33,vocational
male,88,Junior_cycle_incomplete-vocational_school,not_taken,58,vocational
male,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,51,vocational
male,70,Junior_cycle_incomplete-vocational_school,not_taken,37,vocational
female,96,Junior_cycle_incomplete-vocational_school,not_taken,43,vocational
female,97,Junior_cycle_incomplete-vocational_school,not_taken,18,vocational
female,122,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
female,93,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,vocational
male,103,Primary_terminal_leaver,not_taken,43,primary_terminal_leaver
male,65,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
female,103,Primary_terminal_leaver,not_taken,28,primary_terminal_leaver
male,70,Primary_terminal_leaver,not_taken,31,primary_terminal_leaver
